Identifier,Comment,SubTask1,SubTask2
3345,"चमचों! बोल दो वहां पाकिस्तान में भी ये सब ""भाजपा"" करवा रही है। इस्लाम का यही असली चेहरा है। यहां भाजपा नहीं होती तो अब तक यही चीज़ें यहां भी शुरु हो चुकी होती। Actually भाजपा जैसी कोई सरकार पाकिस्तान में भी होनी चाहिए। जो हिन्दुओं के हक की बात करे।",AntiReligion,Islam
9317,अब हम तुम जैसी औरतों पर भरोसा नहीं कर सकते हैं।और सुरेश के चव्हाण तेरे धर्म की लड़की या तुम्हें घास नहीं डालती रही है क्या।आक तु🤮,Non-AntiReligion,None
8713,"Ea log sach bolna, nhe jante, zhooth- per zhooth, ea ban gai eshwar kedlal jaiesa en ke kaan m n bolker gya ha.",Non-AntiReligion,None
3072,Insaniyat naam ki chez nhi inme,Non-AntiReligion,None
5983,Bandar bajrang khan chale bare se muh ke sath Khan chale,AntiReligion,Hinduism
5459,"Inhone khud ko expose ka koi jawab nhi diya ye fake lady h jo dhrmo k drm k khilaaf kahda krti h fake fake,👎👎👎",Non-AntiReligion,None
6666,Me bhi pakistan ka hindu hu aisa kucha nahi pakistan ko badnam karti india ke news wale pakistan zindabad jay shri ram...,Non-AntiReligion,None
230,hr baat pe ye ladai krne lgte hai,Non-AntiReligion,None
6967,"इस जहरीले मौलांना की गोल गोल जलेंबी जैसी बातों में ना आए! 😡😡 क्योंकि इनका एजेंडा बिल्कुल साफ़ और खुला है! 😠😠 जिस चिरांग इस्लांम 🐷🐷 ने अपने 1400 सालों के इतिहास में मांनवता और इंसानियत के लिए एक सूंई तक ईजांद नहीं की, उस चिरांग इस्लांम 🐽🐽 पर लांनत है,सौ बार",AntiReligion,Islam
1638,Debate me dr. Zakir naik ko rakhe sabka jawab denge woh,Non-AntiReligion,None
6680,कुरान और हादिश की तालीम के अनुसार आतंकवादी बल्तकारी लुटेरों हत्यार्रे चोरो 72 हूरो के लिये ज़ाहिल जलिम मौलानाओं मुतमी बनता,AntiReligion,Islam
10919,Is maulanao ko bolo allah tak hi simit rahe hamare bhagwano k baare me na bole,AntiReligion,Islam
7817,Bohat achha hua tere saht namakul,Non-AntiReligion,None
1884,Ese logo par koi taras khaane ki zarurat nhi hai. Ab inhone hindu dharam ikhtiyaar kr liya hai to ab muslim samaaj ko inhe inke haal par hi chhod dena chahiye.,Non-AntiReligion,None
2987,मौलाना समझता है इस्लाम मुसलमान को हि मालूम है। मौलाना आब जानलो सब लोग मालूम करचुके।,AntiReligion,Islam
9293,"भोसडीवालो, ईश्वर और अल्ला एक नहीं है ।",AntiReligion,Hinduism
10530,Yen anchor jab dusri kisi dharm k agenda leke betiye hai to iski program me na Jana better hoga,Non-AntiReligion,None
1588,Aba salo tum log to aisa mat karo unme tume farak kya rehaga,Non-AntiReligion,None
3622,Ye to sahi baat ho gayi naw soo cuhe kha ke billi Cali huz ko,Non-AntiReligion,None
322,Usko jayga nehi milna sahiyea Islam meh abi Q asu bahara hai tum...,AntiReligion,Islam
8891,"मज़ेदार प्रश्न: चंगाई की सभाएँ केवल हिंदुओं की बस्तियों में लगती हैं, क्यों ईसाइयों की बस्तियों में नहीं लगतीं?!",AntiReligion,Christianity 
